group,path,round2_global_loss,final_global_loss,global_loss_before_unlearning,global_loss_after_unlearning,forget_client_loss_before_unlearning,forget_client_loss_after_unlearning,unlearning_time_sec,hessian_mode,retained_reference_set_size,last_hvp_l2_norm,actual_param_delta_l2_norm,unlearn_eta,unlearn_max_update_norm,unlearn_num_steps,unlearn_steps_attempted,unlearn_steps_accepted,unlearn_guard_stop_reason,unlearn_ref_loss_guard_ratio,unlearn_global_loss_guard_max,unlearn_update_sign_mode,unlearn_selected_update_sign,unlearn_direction_check_enabled,unlearn_best_probe_update_sign,unlearn_best_probe_direction_forget_delta,unlearn_best_probe_direction_global_loss_after,unlearn_forget_loss_guard_enabled,unlearn_forget_guard_sample_size,unlearn_forget_loss_min_gain,unlearn_forget_loss_tolerance,unlearn_forget_loss_before_guard,unlearn_forget_loss_limit,unlearn_forget_loss_after_last_accepted,unlearn_reference_loss_before_guard,unlearn_reference_loss_after_last_accepted,unlearn_global_loss_after_last_accepted,unlearn_applied_update_l2_norm_estimate,update_clipping_enabled,update_clip_applied,update_clip_coefficient,scaled_update_l2_norm_before_clipping,scaled_update_l2_norm_after_clipping
fedhds,fedhds/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777804466.8787422/final_results.json,1.6613137982785702,1.52497866936028,,,,,,,,,,1.0,0.0,1,,,,0.0,0.0,positive,,,,,,,,0.0,0.0,,,,,,,,,,,,
retained_auto_direction_guard05,retained_auto_direction_guard05/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777805157.7741148/final_results.json,1.6613137982785702,1.5481679514050484,1.52497866936028,1.5481679514050484,2.2580663976350834,2.2328568976737704,180.68385004997253,retained-set,19,474.8746638519593,0.2486012751017094,0.01,0.3,5,5,5,completed,0.0,1.574979,auto,positive,True,positive,-0.007313933755670465,1.548241499811411,False,8,0.0,0.0,,,,,,1.5481679514050484,0.2486012785272088,True,False,1.0,0.24860127852720884,0.24860127852720884
retained_auto_forget_guard_tol005_guard10,retained_auto_forget_guard_tol005_guard10/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777806914.9347653/final_results.json,1.6613137982785702,1.52497866936028,1.52497866936028,1.52497866936028,2.2580663976350834,2.2580663976350834,84.31972789764404,retained-set,19,474.8746638519593,0.0,0.01,0.3,5,1,0,forget_loss_guard,0.0,1.624979,auto,positive,True,positive,-0.007313933755670465,1.548241499811411,True,8,0.0,0.005,2.2344439678958485,2.2294439678958486,,,,,0.0,True,False,1.0,0.24860127852720884,0.24860127852720884
retained_auto_forget_guard_tol0_guard05,retained_auto_forget_guard_tol0_guard05/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777806084.004738/final_results.json,1.6613137982785702,1.52497866936028,1.52497866936028,1.52497866936028,2.2580663976350834,2.2580663976350834,83.71339058876038,retained-set,19,474.8746638519593,0.0,0.01,0.3,5,1,0,forget_loss_guard,0.0,1.574979,auto,positive,True,positive,-0.007313933755670465,1.548241499811411,True,8,0.0,0.0,2.2344439678958485,2.2344439678958485,,,,,0.0,True,False,1.0,0.24860127852720884,0.24860127852720884
