group,path,round2_global_loss,final_global_loss,global_loss_before_unlearning,global_loss_after_unlearning,forget_client_loss_before_unlearning,forget_client_loss_after_unlearning,unlearning_time_sec,hessian_mode,retained_reference_set_size,last_hvp_l2_norm,actual_param_delta_l2_norm,unlearn_eta,unlearn_max_update_norm,unlearn_num_steps,unlearn_steps_attempted,unlearn_steps_accepted,unlearn_guard_stop_reason,unlearn_ref_loss_guard_ratio,unlearn_global_loss_guard_max,unlearn_update_sign_mode,unlearn_selected_update_sign,unlearn_direction_check_enabled,unlearn_best_probe_update_sign,unlearn_best_probe_direction_forget_delta,unlearn_best_probe_direction_global_loss_after,unlearn_forget_loss_guard_enabled,unlearn_forget_guard_sample_size,unlearn_forget_loss_min_gain,unlearn_forget_loss_tolerance,unlearn_forget_loss_before_guard,unlearn_forget_loss_limit,unlearn_forget_loss_after_last_accepted,unlearn_reference_loss_before_guard,unlearn_reference_loss_after_last_accepted,unlearn_global_loss_after_last_accepted,unlearn_applied_update_l2_norm_estimate,update_clipping_enabled,update_clip_applied,update_clip_coefficient,scaled_update_l2_norm_before_clipping,scaled_update_l2_norm_after_clipping
fedhds,fedhds/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed43/1777883531.3110607/final_results.json,1.683993138372898,1.6377253904938698,,,,,,,,,,1.0,0.0,1,,,,0.0,0.0,positive,,,,,,,,0.0,0.0,,,,,,,,,,,,
fl,fl/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed43/1777882700.4843712/final_results.json,1.652711559087038,1.6790133640170097,,,,,,,,,,1.0,0.0,1,,,,0.0,0.0,positive,,,,,,,,0.0,0.0,,,,,,,,,,,,
forget_batch_hessian,forget_batch_hessian/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed43/1777884495.2196696/final_results.json,1.683993138372898,1.636772233992815,1.6377253904938698,1.636772233992815,1.8482577732732615,1.8489656205573197,1.0963099002838135,forget-batch,0,28.27345736816366,0.015525600332749434,0.01,0.0,1,1,1,completed,0.0,0.0,positive,positive,False,,,,False,0,0.0,0.0,,,,,,,0.015525600956410323,False,False,1.0,0.015525600956410323,0.015525600956410323
retained_auto_forget_guard_tol0_guard10,retained_auto_forget_guard_tol0_guard10/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed43/1777885518.8250995/final_results.json,1.683993138372898,1.6380339451134205,1.6377253904938698,1.6380339451134205,1.8482577732732615,1.8471978910740907,272.94934725761414,retained-set,19,59.91163211279368,0.030689057851492712,0.01,0.1,5,5,5,completed,0.0,1.737725,auto,negative,True,negative,0.008328080177307129,1.638000663369894,True,4,0.0,0.0,1.4447933832804363,1.4447933832804363,1.45253586769104,,,1.6380339451134205,0.03068905854036927,True,False,1.0,0.03068905854036927,0.03068905854036927
retained_negative_norm010_guard10,retained_negative_norm010_guard10/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed43/1777886846.7301002/final_results.json,1.683993138372898,1.6380339451134205,1.6377253904938698,1.6380339451134205,1.8482577732732615,1.8471978910740907,193.25314712524414,retained-set,19,59.91163211279368,0.030689057851492712,0.01,0.1,5,5,5,completed,0.0,1.737725,negative,negative,False,,,,True,4,0.0,0.0,1.4447933832804363,1.4447933832804363,1.45253586769104,,,1.6380339451134205,0.03068905854036927,True,False,1.0,0.03068905854036927,0.03068905854036927
