group,path,round2_global_loss,final_global_loss,global_loss_before_unlearning,global_loss_after_unlearning,forget_client_loss_before_unlearning,forget_client_loss_after_unlearning,unlearning_time_sec,hessian_mode,retained_reference_set_size,last_hvp_l2_norm,actual_param_delta_l2_norm,unlearn_eta,unlearn_max_update_norm,unlearn_num_steps,unlearn_steps_attempted,unlearn_steps_accepted,unlearn_guard_stop_reason,unlearn_ref_loss_guard_ratio,unlearn_global_loss_guard_max,unlearn_update_sign_mode,unlearn_selected_update_sign,unlearn_direction_check_enabled,unlearn_best_probe_update_sign,unlearn_best_probe_direction_forget_delta,unlearn_best_probe_direction_global_loss_after,unlearn_forget_loss_guard_enabled,unlearn_forget_guard_sample_size,unlearn_forget_loss_min_gain,unlearn_forget_loss_tolerance,unlearn_forget_loss_before_guard,unlearn_forget_loss_limit,unlearn_forget_loss_after_last_accepted,unlearn_reference_loss_before_guard,unlearn_reference_loss_after_last_accepted,unlearn_global_loss_after_last_accepted,unlearn_applied_update_l2_norm_estimate,update_clipping_enabled,update_clip_applied,update_clip_coefficient,scaled_update_l2_norm_before_clipping,scaled_update_l2_norm_after_clipping
negative_norm005_guard05,negative_norm005_guard05/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777808957.0864458/final_results.json,1.6613137982785702,1.5560769438743591,1.52497866936028,1.5560769438743591,2.2580663976350834,2.4104626190337335,132.76128554344177,retained-set,19,474.8746638519593,0.049999999853595795,0.01,0.05,5,5,5,completed,0.0,1.574979,negative,negative,False,,,,True,8,0.0,0.0,2.2344439678958485,2.2344439678958485,2.3100625398967947,,,1.5560769438743591,0.05,True,True,0.20112527295199578,0.24860127852720884,0.05
negative_norm010_guard10,negative_norm010_guard10/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777809832.4027061/final_results.json,1.6613137982785702,1.5935216341167688,1.52497866936028,1.5935216341167688,2.2580663976350834,2.610369658768725,130.7440025806427,retained-set,19,474.8746638519593,0.09999999949178084,0.01,0.1,5,5,5,completed,0.0,1.624979,negative,negative,False,,,,True,8,0.0,0.0,2.2344439678958485,2.2344439678958485,2.3966322106176188,,,1.5935216341167688,0.1,True,True,0.40225054590399156,0.24860127852720884,0.1
negative_norm015_guard10,negative_norm015_guard10/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777810697.4704115/final_results.json,1.6613137982785702,1.6094206254929304,1.52497866936028,1.6094206254929304,2.2580663976350834,2.6880263543559932,132.07895159721375,retained-set,19,474.8746638519593,0.1200000031065255,0.01,0.15,5,5,4,global_loss_guard,0.0,1.624979,negative,negative,False,,,,True,8,0.0,0.0,2.2344439678958485,2.2344439678958485,2.437812263012997,,,1.6094206254929304,0.12,True,True,0.6033758188559872,0.24860127852720884,0.15
