group,path,round2_global_loss,final_global_loss,global_loss_before_unlearning,global_loss_after_unlearning,forget_client_loss_before_unlearning,forget_client_loss_after_unlearning,unlearning_time_sec,hessian_mode,retained_reference_set_size,last_hvp_l2_norm,actual_param_delta_l2_norm,unlearn_eta,unlearn_max_update_norm,unlearn_num_steps,unlearn_steps_attempted,unlearn_steps_accepted,unlearn_guard_stop_reason,unlearn_ref_loss_guard_ratio,unlearn_global_loss_guard_max,unlearn_update_sign_mode,unlearn_selected_update_sign,unlearn_direction_check_enabled,unlearn_best_probe_update_sign,unlearn_best_probe_direction_forget_delta,unlearn_best_probe_direction_global_loss_after,unlearn_forget_loss_guard_enabled,unlearn_forget_guard_sample_size,unlearn_forget_loss_min_gain,unlearn_forget_loss_tolerance,unlearn_forget_loss_before_guard,unlearn_forget_loss_limit,unlearn_forget_loss_after_last_accepted,unlearn_reference_loss_before_guard,unlearn_reference_loss_after_last_accepted,unlearn_global_loss_after_last_accepted,unlearn_applied_update_l2_norm_estimate,update_clipping_enabled,update_clip_applied,update_clip_coefficient,scaled_update_l2_norm_before_clipping,scaled_update_l2_norm_after_clipping
fedhds,fedhds/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777856610.89134/final_results.json,1.6613137982785702,1.52497866936028,,,,,,,,,,1.0,0.0,1,,,,0.0,0.0,positive,,,,,,,,0.0,0.0,,,,,,,,,,,,
fl,fl/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777856030.5745525/final_results.json,1.6254673190414906,1.5441420711576939,,,,,,,,,,1.0,0.0,1,,,,0.0,0.0,positive,,,,,,,,0.0,0.0,,,,,,,,,,,,
forget_batch_hessian,forget_batch_hessian/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777857322.6908112/final_results.json,1.6613137982785702,1.6257251873612404,1.52497866936028,1.6257251873612404,2.2580663976350834,2.2866068766543677,1.6855432987213135,forget-batch,0,967.9636266441361,0.5076577631917756,0.01,0.0,1,1,1,completed,0.0,0.0,positive,positive,False,,,,False,0,0.0,0.0,,,,,,,0.507657788358181,False,False,1.0,0.507657788358181,0.507657788358181
retained_auto_direction_guard05,retained_auto_direction_guard05/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777858841.0936105/final_results.json,1.6613137982785702,1.5481679514050484,1.52497866936028,1.5481679514050484,2.2580663976350834,2.2328568976737704,189.6741394996643,retained-set,19,474.8746638519593,0.2486012751017094,0.01,0.3,5,5,5,completed,0.0,1.574979,auto,positive,True,positive,-0.007313933755670465,1.548241499811411,False,8,0.0,0.0,,,,,,1.5481679514050484,0.2486012785272088,True,False,1.0,0.24860127852720884,0.24860127852720884
retained_auto_forget_guard_tol005_guard10,retained_auto_forget_guard_tol005_guard10/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777860674.71111/final_results.json,1.6613137982785702,1.52497866936028,1.52497866936028,1.52497866936028,2.2580663976350834,2.2580663976350834,86.58491253852844,retained-set,19,474.8746638519593,0.0,0.01,0.3,5,1,0,forget_loss_guard,0.0,1.624979,auto,positive,True,positive,-0.007313933755670465,1.548241499811411,True,8,0.0,0.005,2.2344439678958485,2.2294439678958486,,,,,0.0,True,False,1.0,0.24860127852720884,0.24860127852720884
retained_auto_forget_guard_tol0_guard05,retained_auto_forget_guard_tol0_guard05/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777859812.867402/final_results.json,1.6613137982785702,1.52497866936028,1.52497866936028,1.52497866936028,2.2580663976350834,2.2580663976350834,88.0062038898468,retained-set,19,474.8746638519593,0.0,0.01,0.3,5,1,0,forget_loss_guard,0.0,1.574979,auto,positive,True,positive,-0.007313933755670465,1.548241499811411,True,8,0.0,0.0,2.2344439678958485,2.2344439678958485,,,,,0.0,True,False,1.0,0.24860127852720884,0.24860127852720884
retained_negative_norm005_guard05,retained_negative_norm005_guard05/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777861521.1643791/final_results.json,1.6613137982785702,1.5560769438743591,1.52497866936028,1.5560769438743591,2.2580663976350834,2.4104626190337335,133.76149940490723,retained-set,19,474.8746638519593,0.049999999853595795,0.01,0.05,5,5,5,completed,0.0,1.574979,negative,negative,False,,,,True,8,0.0,0.0,2.2344439678958485,2.2344439678958485,2.3100625398967947,,,1.5560769438743591,0.05,True,True,0.20112527295199578,0.24860127852720884,0.05
retained_negative_norm010_guard10,retained_negative_norm010_guard10/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777862408.5531938/final_results.json,1.6613137982785702,1.5935216341167688,1.52497866936028,1.5935216341167688,2.2580663976350834,2.610369658768725,140.23115515708923,retained-set,19,474.8746638519593,0.09999999949178084,0.01,0.1,5,5,5,completed,0.0,1.624979,negative,negative,False,,,,True,8,0.0,0.0,2.2344439678958485,2.2344439678958485,2.3966322106176188,,,1.5935216341167688,0.1,True,True,0.40225054590399156,0.24860127852720884,0.1
retained_negative_norm015_guard10,retained_negative_norm015_guard10/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2-0.5B-ms/0.0002/step2/seed42/1777863330.8226693/final_results.json,1.6613137982785702,1.6094206254929304,1.52497866936028,1.6094206254929304,2.2580663976350834,2.6880263543559932,137.9164650440216,retained-set,19,474.8746638519593,0.1200000031065255,0.01,0.15,5,5,4,global_loss_guard,0.0,1.624979,negative,negative,False,,,,True,8,0.0,0.0,2.2344439678958485,2.2344439678958485,2.437812263012997,,,1.6094206254929304,0.12,True,True,0.6033758188559872,0.24860127852720884,0.15
