group,path,round2_global_loss,final_global_loss,global_loss_before_unlearning,global_loss_after_unlearning,forget_client_loss_before_unlearning,forget_client_loss_after_unlearning,unlearning_time_sec,hessian_mode,retained_reference_set_size,last_hvp_l2_norm,actual_param_delta_l2_norm,unlearn_eta,unlearn_max_update_norm,unlearn_num_steps,unlearn_steps_attempted,unlearn_steps_accepted,unlearn_guard_stop_reason,unlearn_ref_loss_guard_ratio,unlearn_global_loss_guard_max,unlearn_update_sign_mode,unlearn_selected_update_sign,unlearn_direction_check_enabled,unlearn_best_probe_update_sign,unlearn_best_probe_direction_forget_delta,unlearn_best_probe_direction_global_loss_after,unlearn_forget_loss_guard_enabled,unlearn_forget_guard_sample_size,unlearn_forget_loss_min_gain,unlearn_forget_loss_tolerance,unlearn_forget_loss_before_guard,unlearn_forget_loss_limit,unlearn_forget_loss_after_last_accepted,unlearn_reference_loss_before_guard,unlearn_reference_loss_after_last_accepted,unlearn_global_loss_after_last_accepted,unlearn_applied_update_l2_norm_estimate,update_clipping_enabled,update_clip_applied,update_clip_coefficient,scaled_update_l2_norm_before_clipping,scaled_update_l2_norm_after_clipping
fedhds,fedhds/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed42/1777862332.2632377/final_results.json,1.6538401693105698,1.620142275467515,,,,,,,,,,1.0,0.0,1,,,,0.0,0.0,positive,,,,,,,,0.0,0.0,,,,,,,,,,,,
fl,fl/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed42/1777861502.5354738/final_results.json,1.6579855233430862,1.6586873941123486,,,,,,,,,,1.0,0.0,1,,,,0.0,0.0,positive,,,,,,,,0.0,0.0,,,,,,,,,,,,
forget_batch_hessian,forget_batch_hessian/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed42/1777863314.7349033/final_results.json,1.6538401693105698,1.6290713548660278,1.620142275467515,1.6290713548660278,2.087954053787862,2.0828008775488804,1.0662095546722412,forget-batch,0,448.18740681485775,0.23351370298180624,0.01,0.0,1,1,1,completed,0.0,0.0,positive,positive,False,,,,False,0,0.0,0.0,,,,,,,0.23351371371334018,False,False,1.0,0.23351371371334018,0.23351371371334018
retained_auto_direction_guard05,retained_auto_direction_guard05/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed42/1777867081.0042462/final_results.json,1.6538401693105698,1.613216582685709,1.620142275467515,1.613216582685709,2.087954053787862,2.107776876374827,269.1287384033203,retained-set,19,59.62529004868263,0.030479820599050494,0.01,0.1,5,5,5,completed,0.0,1.670142,auto,negative,True,negative,0.0262945294380188,1.6138865053653717,False,4,0.0,0.0,,,,,,1.613216582685709,0.030479820923287725,True,False,1.0,0.030479820923287725,0.030479820923287725
retained_auto_forget_guard_tol005_guard10,retained_auto_forget_guard_tol005_guard10/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed42/1777868392.5387878/final_results.json,1.6538401693105698,1.613216582685709,1.620142275467515,1.613216582685709,2.087954053787862,2.107776876374827,273.5898575782776,retained-set,19,59.62529004868263,0.030479820599050494,0.01,0.1,5,5,5,completed,0.0,1.720142,auto,negative,True,negative,0.0262945294380188,1.6138865053653717,True,4,0.0,0.005,1.6635376513004303,1.6585376513004304,1.6886086463928223,,,1.613216582685709,0.030479820923287725,True,False,1.0,0.030479820923287725,0.030479820923287725
retained_auto_forget_guard_tol0_guard10,retained_auto_forget_guard_tol0_guard10/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed42/1777864396.133118/final_results.json,1.6538401693105698,1.613216582685709,1.620142275467515,1.613216582685709,2.087954053787862,2.107776876374827,286.24381470680237,retained-set,19,59.62529004868263,0.030479820599050494,0.01,0.1,5,5,5,completed,0.0,1.720142,auto,negative,True,negative,0.0262945294380188,1.6138865053653717,True,4,0.0,0.0,1.6635376513004303,1.6635376513004303,1.6886086463928223,,,1.613216582685709,0.030479820923287725,True,False,1.0,0.030479820923287725,0.030479820923287725
retained_negative_norm005_guard05,retained_negative_norm005_guard05/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed42/1777869717.7798674/final_results.json,1.6538401693105698,1.613216582685709,1.620142275467515,1.613216582685709,2.087954053787862,2.107776876374827,197.2987093925476,retained-set,19,59.62529004868263,0.030479820599050494,0.01,0.05,5,5,5,completed,0.0,1.670142,negative,negative,False,,,,True,4,0.0,0.0,1.6635376513004303,1.6635376513004303,1.6886086463928223,,,1.613216582685709,0.030479820923287725,True,False,1.0,0.030479820923287725,0.030479820923287725
retained_negative_norm010_guard10,retained_negative_norm010_guard10/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed42/1777865769.9495761/final_results.json,1.6538401693105698,1.613216582685709,1.620142275467515,1.613216582685709,2.087954053787862,2.107776876374827,207.4529321193695,retained-set,19,59.62529004868263,0.030479820599050494,0.01,0.1,5,5,5,completed,0.0,1.720142,negative,negative,False,,,,True,4,0.0,0.0,1.6635376513004303,1.6635376513004303,1.6886086463928223,,,1.613216582685709,0.030479820923287725,True,False,1.0,0.030479820923287725,0.030479820923287725
retained_negative_norm015_guard10,retained_negative_norm015_guard10/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed42/1777870978.1427414/final_results.json,1.6538401693105698,1.613216582685709,1.620142275467515,1.613216582685709,2.087954053787862,2.107776876374827,195.08093428611755,retained-set,19,59.62529004868263,0.030479820599050494,0.01,0.15,5,5,5,completed,0.0,1.720142,negative,negative,False,,,,True,4,0.0,0.0,1.6635376513004303,1.6635376513004303,1.6886086463928223,,,1.613216582685709,0.030479820923287725,True,False,1.0,0.030479820923287725,0.030479820923287725
