group,path,round2_global_loss,final_global_loss,global_loss_before_unlearning,global_loss_after_unlearning,forget_client_loss_before_unlearning,forget_client_loss_after_unlearning,unlearning_time_sec,hessian_mode,retained_reference_set_size,last_hvp_l2_norm,actual_param_delta_l2_norm,unlearn_eta,unlearn_max_update_norm,unlearn_num_steps,unlearn_steps_attempted,unlearn_steps_accepted,unlearn_guard_stop_reason,unlearn_ref_loss_guard_ratio,unlearn_global_loss_guard_max,unlearn_update_sign_mode,unlearn_selected_update_sign,unlearn_direction_check_enabled,unlearn_best_probe_update_sign,unlearn_best_probe_direction_forget_delta,unlearn_best_probe_direction_global_loss_after,unlearn_forget_loss_guard_enabled,unlearn_forget_guard_sample_size,unlearn_forget_loss_min_gain,unlearn_forget_loss_tolerance,unlearn_forget_loss_before_guard,unlearn_forget_loss_limit,unlearn_forget_loss_after_last_accepted,unlearn_reference_loss_before_guard,unlearn_reference_loss_after_last_accepted,unlearn_global_loss_after_last_accepted,unlearn_applied_update_l2_norm_estimate,update_clipping_enabled,update_clip_applied,update_clip_coefficient,scaled_update_l2_norm_before_clipping,scaled_update_l2_norm_after_clipping
fedhds,fedhds/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed44/1777888942.1375287/final_results.json,2.144987851381302,2.081847613056501,,,,,,,,,,1.0,0.0,1,,,,0.0,0.0,positive,,,,,,,,0.0,0.0,,,,,,,,,,,,
fl,fl/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed44/1777888076.7349372/final_results.json,2.1225580175717673,2.1780721296866736,,,,,,,,,,1.0,0.0,1,,,,0.0,0.0,positive,,,,,,,,0.0,0.0,,,,,,,,,,,,
forget_batch_hessian,forget_batch_hessian/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed44/1777889915.9267302/final_results.json,2.144987851381302,2.087105060617129,2.081847613056501,2.087105060617129,1.8732493393855993,1.8676727896708933,1.0464000701904297,forget-batch,0,95.70661153821332,0.04961126894885772,0.01,0.0,1,1,1,completed,0.0,0.0,positive,positive,False,,,,False,0,0.0,0.0,,,,,,,0.04961127076190504,False,False,1.0,0.04961127076190504,0.04961127076190504
retained_auto_forget_guard_tol0_guard10,retained_auto_forget_guard_tol0_guard10/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed44/1777890993.7363584/final_results.json,2.144987851381302,2.0825956662495932,2.081847613056501,2.0825956662495932,1.8732493393855993,1.8724905855709413,283.7649862766266,retained-set,19,9.151957746485342,0.005826999566663674,0.01,0.1,5,5,5,completed,0.0,2.181848,auto,positive,True,positive,0.010799556970596313,2.08407761156559,True,4,0.0,0.0,1.3504112605005503,1.3504112605005503,1.3611591681838036,,,2.0825956662495932,0.00582699917637987,True,False,1.0,0.00582699917637987,0.00582699917637987
retained_negative_norm010_guard10,retained_negative_norm010_guard10/exp/adam/dolly-iid0/zeroshot7/_root_autodl-tmp_models_Qwen2.5-1.5B-ms/0.0002/step2/seed44/1777892363.5329242/final_results.json,2.144987851381302,2.081847613056501,2.081847613056501,2.081847613056501,1.8732493393855993,1.8732493393855993,44.31821942329407,retained-set,19,9.151957746485342,0.0,0.01,0.1,5,1,0,forget_loss_guard,0.0,2.181848,negative,negative,False,,,,True,4,0.0,0.0,1.3504112605005503,1.3504112605005503,,,,,0.0,True,False,1.0,0.00582699917637987,0.00582699917637987
